"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Оплата в кредит","Оплата картой отсутствующей в системе","Отсутствие новых данных в столицах ","0","0","1","0","0"
"","","","3","0","1","0","0"
"Оплата в кредит","Оплата разрешенной картой","Всплывающее окно со статеумом операции","0","0","1","0","0"
"Оплата в кредит","Оплата запрещенной картой","Статус опеоации в БД","0","0","1","0","0"
"Оплата картой","Оплата картой отсутствующей в системе","Всплывающее окно со статеумом операции","1","0","0","0","0"
"Оплата картой","Оплата запрещенной картой","Всплывающее окно со статеумом операции","1","0","0","0","0"
"Валидация полей","Поле CVC","Пустое поле","1","0","0","0","0"
"Валидация полей","Поле месяца","Пустое поле","1","0","0","0","0"
"Валидация полей","Поле года","Выще верхней  границы срока действия","1","0","1","0","0"
"Оплата картой","Оплата разрешенной картой","Статус опеоации в БД","0","0","1","0","0"
"Валидация полей","Поле года","Верхняя граница срока действия","0","0","1","0","0"
"Валидация полей","Поле месяца","Верхняя граница срока действия","0","0","1","0","0"
"Валидация полей","Поле года","Нижняя  срока действия","0","0","1","0","0"
"Валидация полей","Поле месяца","Нижняя  срока действия","0","0","1","0","0"
"Валидация полей","Поле имени","Имя киррилицей","1","0","0","0","0"
"Оплата в кредит","Оплата картой отсутствующей в системе","Всплывающее окно со статеумом операции","1","0","0","0","0"
"Оплата картой","Оплата разрешенной картой","Всплывающее окно со статеумом операции","0","0","1","0","0"
"Оплата картой","Оплата запрещенной картой","Статус опеоации в БД","0","0","1","0","0"
"Оплата в кредит","Оплата разрешенной картой","Статус опеоации в БД","0","0","1","0","0"
"Оплата в кредит","","Корректность занесения данных в таблицу order_entity","1","0","0","0","0"
"Валидация полей","Поле месяца","Ниже нижней  границы срока действия","0","0","1","0","0"
"Оплата в кредит","Оплата запрещенной картой","Всплывающее окно со статеумом операции","1","0","0","0","0"
"Оплата картой","","Корректность занесения данных в таблицу order_entity","0","0","1","0","0"
"Валидация полей","Поле имени","Пустое поле","0","0","1","0","0"
"Оплата картой","Оплата картой отсутствующей в системе","Отсутствие новых данных в столицах ","0","0","1","0","0"
"Валидация полей","Поле номера карты","Пустое поле","1","0","0","0","0"
"Валидация полей","Поле года","Пустое поле","1","0","0","0","0"
"Валидация полей","Поле месяца","Поле месяца со знанчением '00' ","1","0","0","0","0"
